#separator:tab
#html:true
#guid column:1
#notetype column:2
#tags column:15
wr9rCP`F9f	Universal German word template	ärgern	злить(ся), сердить(ся), раздражать	"<ul><li><strong class=""spoiler"">über (A)</strong> - означает ""из-за"", указывает на причину раздражения или источник раздражения. Пример: Ich ärgere mich über die Verspätung des Zuges. - Я раздражаюсь из-за опоздания поезда.</li></ul>"			ärgert	haben geärgert	ärgerte	Ich möchte niemanden ärgern.	Я не хочу никого раздражать.	Es ärgert mich, dass ich den Bus verpasst habe.	Меня раздражает то, что я пропустил автобус.			chatgpt
JJJZpXM(UA	Universal German word template	äußern	высказывать, выражать, изъявлять (мнение, предположение)				äußert	haben geäußert	äußerte	Er möchte seine Meinung zum neuen Buch äußern.	Он хочет выразить свое мнение о новой книге.	Die Regierung hat sich noch nicht zu den Vorfällen geäußert.	Правительство еще не высказалось по поводу происшествий.	Darf ich eine Vermutung äußern?	Могу ли я высказать предположение?	chatgpt
jc^p4oW&.h	Universal German word template	ändern	"<ul><li>поменять</li><li>измениться</li>
</ul>"				ändert	haben geändert	änderte	Das Parlament ändert die Verfassung.	Парламент меняет конституцию.					
C=,{:k+Y>g	Universal German word template	rauben	грабить, отбирать				raubt	haben geraubt	raubte	Die Bank wurde mitten am Tag ausgeraubt.	Банк ограбили прямо днём.					chatgpt
i4bc2/I,uk	Universal German word template	reiten	ездить верхом				reitet	sein geritten	ritt	Ich habe als Kind gelernt, zu reiten.	Я научился ездить верхом ещё в детстве.					chatgpt
C}3SgUY=O?	Universal German word template	richten	<ul><li>направлять</li><li>выравнивать, ориентировать</li></ul>				richtet	haben gerichtet	richtete	Er richtet das Bild an der Wand gerade.	Он выравнивает картину на стене.	Ich richte mich nach deinem Zeitplan.	Я подстроюсь под твой график.	Bitte richten Sie Ihre Anfrage an die Abteilung Kundenservice.	Пожалуйста, направьте ваш запрос в отдел обслуживания клиентов.	chatgpt
p}}x:uNRkp	Universal German word template	reichhaltig	обильный, богатый, питательный							Das Frühstücksbuffet im Hotel war sehr reichhaltig.	Шведский стол на завтрак в отеле был очень разнообразным.	Diese Creme hat eine reichhaltige Textur und nährt die Haut tief.	Этот крем имеет плотную текстуру и глубоко питает кожу.			chatgpt
v;Kj2V|?`K	Universal German word template	riechen	<ul><li>пахнуть<br></li><li>чувствовать запах, нюхать</li></ul>				riecht	haben gerochen	roch	Dieser Wein riecht gut.	Это вино пахнет хорошо.	Ich rieche Blumen.	Я чувствую запах цветов.	Das Essen riecht schlecht.	Еда пахнет плохо.	A1 chatgpt
FLVe:[K|lT	Universal German word template	rütteln	трясти, встряхивать				rüttelt	haben gerüttelt	rüttelte	Du musst den Orangensaft vor dem Trinken gut rütteln.	Тебе следует хорошо встряхнуть апельсиновый сок перед употреблением.					chatgpt
giJP{KpVF=	Universal German word template	Raum	"<ul><li>помещение</li><li>пространство</li>
<li>район</li>
<li>космос</li>
</ul>"		der	Räume				Der Unterricht ist in Raum 332.	Урок проходит в аудитории 332.	Das Buch liegt auf dem Tisch im Raum.	Книга лежит на столе в комнате.	Der Raum ist sehr groß.	Комната очень большая.	A1 chatgpt
"pn|.Z<E#37"	Universal German word template	riskieren	рисковать				riskiert	haben riskiert	riskierte	Sie riskiert ihren Job, wenn sie weiterhin zu spät kommt.	Она рискует потерять работу, если будет продолжать опаздывать.	Man sollte nicht seine Gesundheit riskieren, nur um schneller an sein Ziel zu kommen.	Не следует рисковать своим здоровьем ради того, чтобы быстрее достичь цели.			chatgpt
QI<CZLl$:q	Universal German word template	Rübe	репа, брюква, свёкла		die	Rüben				Er hat eine Rübe zum Abendessen gekocht.	Он приготовил брюкву на ужин.					chatgpt
Q2t3jtlFM3	Universal German word template	reden	<ul><li>говорить, разговаривать, беседовать<br></li></ul>	"<ul><li><strong class=""spoiler"">Reden</strong>: Схоже с ""sprechen"", но часто подразумевает одностороннюю речь или обращение.<br></li><li><strong class=""spoiler"">Erzählen</strong>: Это слово часто переводится как ""рассказывать"". Оно подразумевает длительное и подробное изложение событий или историй.</li><li><strong class=""spoiler"">Sagen</strong>: Это общее слово для ""сказать"" и используется, когда кто-то передает краткую информацию или факт.</li><li><strong class=""spoiler"">Sprechen</strong>: Это слово обозначает акт говорения и часто используется в контексте языков или более общего общения.</li><li><strong class=""spoiler"">Unterhalten</strong>: Это слово используется, когда речь идет о разговоре, который имеет развлекательный или интересный характер. Также от этого слова происходит существительное ""Unterhaltung"" (развлечение).</li><li><strong class=""spoiler"">Berichten</strong>: ""Сообщать"" или ""докладывать"", часто в официальных или журналистских контекстах.</li></ul>"			redet	haben geredet	redete	Wir müssen über diese Angelegenheit reden.	Нам нужно поговорить об этом вопросе.	Er kann stundenlang über Politik reden.	Он может часами говорить о политике.			chatgpt
"C0(_+E5#j-"	Universal German word template	ruinieren	разорять, губить, портить				ruiniert	haben ruiniert	ruinierte	Dieser Skandal könnte seine Karriere ruinieren.	Этот скандал может разрушить его карьеру.					chatgpt
btilv3,rDS	Universal German word template	Räumlichkeit	помещение, пространство							Bitte sorgen Sie für eine gute Belüftung der Räumlichkeit.	Пожалуйста, обеспечьте хорошую вентиляцию помещения.					chatgpt
xE`Cz_nzR.	Universal German word template	Rücken	<ul><li>спина</li><li>задняя часть</li></ul>		der	Rücken				Ich habe Schmerzen im Rücken.	У меня болит спина.	Er trägt einen schweren Rucksack auf dem Rücken.	Он несёт тяжёлый рюкзак на спине.	Bitte drehen Sie sich um und zeigen Sie mir Ihren Rücken.	Пожалуйста, повернитесь и покажите мне вашу спину.	chatgpt
wI)m91k9-C	Universal German word template	Restaurant	ресторан		das	Restaurants				Wir gehen heute Abend ins Restaurant.	Сегодня вечером мы идем в ресторан.	Das Restaurant ist neben dem Hotel.	Ресторан находится рядом с отелем.	Das Essen im Restaurant schmeckt sehr gut.	Еда в ресторане очень вкусная.	A1 chatgpt
k}q`4xzPAU	Universal German word template	Rechnung	счёт		die	Rechnungen				Die Rechnung, bitte.	Счет, пожалуйста.	Kann ich die Rechnung haben?	Можно мне счет?	Was kostet das? Ich möchte die Rechnung sehen.	Сколько это стоит? Я хочу посмотреть счет.	A1 chatgpt
"r,VOe?2<I#"	Universal German word template	riesig	огромный, гигантский<br><ul></ul>							Er hatte einen riesigen Hunger.	У него был огромный голод.	Sie sahen ein riesiges Gebäude vor sich.	Они увидели перед собой огромное здание.	Die Freude über den Sieg war riesig.	Радость от победы была огромной.	chatgpt
AO/S1i}8~m	Universal German word template	Renommee	репутация, престиж, известность		das	Renommees				Das Restaurant hat ein hervorragendes Renommee wegen seiner ausgezeichneten Küche.	Ресторан пользуется отличной репутацией благодаря своей превосходной кухне.	Ein Wissenschaftler mit solchem Renommee wird oft zu internationalen Konferenzen eingeladen.	Ученого с такой репутацией часто приглашают на международные конференции.			chatgpt
ipZ>g@9$i?	Universal German word template	Reichtum	богатство		der	Reichtümer				Viele Menschen träumen von Reichtum und Erfolg.	Многие люди мечтают о богатстве и успехе.	Reichtum ist nicht nur in Geld zu messen.	Богатство не измеряется только деньгами.			chatgpt
m&MB(h5I;y	Universal German word template	renommieren	<div><ul><li>хвастаться</li><li>гордиться</li></ul></div>				renommiert	haben renommiert	renommierte	Er renommierte ständig mit seinen Erfolgen in der Vergangenheit.	Он постоянно хвастался своими успехами в прошлом.	Das Unternehmen renommierte mit seiner langen Tradition und Qualität.	Компания гордилась своей долгой традицией и качеством.	Dieses Restaurant renommiert mit seiner ausgezeichneten Küche.	Этот ресторан славится своей отличной кухней.	chatgpt
zR;.Y^WWrZ	Universal German word template	Ruine	руина		die	Ruinen										chatgpt
wK*p:.[IjS	Universal German word template	Reiseleiter&nbsp;	гид (человек)	"""Reiseleiter"" и ""Reiseführer"" оба переводятся на русский как ""гид"", но они имеют некоторые различия. ""Reiseleiter"" — это человек, который сопровождает группу туристов во время всего путешествия, организует экскурсии, решает организационные вопросы и помогает в случае проблем. ""Reiseführer"" чаще относится к книге или путеводителю, который предоставляет информацию о местах, которые стоит посетить. Однако ""Reiseführer"" может также обозначать человека, проводящего экскурсии по конкретному месту, но не сопровождающего туристов на протяжении всего путешествия."												
v1a6UgNPn;	Universal German word template	Rückgang	спад, уменьшение, убыль, откат, регресс		der	Rückgänge				Der Rückgang der Wirtschaftsleistung ist besorgniserregend.	Падение экономической активности вызывает беспокойство.	Es gab einen deutlichen Rückgang der Besucherzahlen im Vergleich zum Vorjahr.	Было заметно сокращение числа посетителей по сравнению с прошлым годом.	Der Rückgang der Arbeitslosenquote ist ein positives Zeichen für die Wirtschaft.	Снижение уровня безработицы является положительным сигналом для экономики.	chatgpt
yU*y2S+gtO	Universal German word template	Reisebüro	бюро путешествий		das	Reisebüros				Mein Mann arbeitet im Reisebüro.	Мой муж работает в туристическом агентстве.	Ich buche meine Flüge immer im Reisebüro.	Я всегда бронирую свои авиабилеты в туристическом агентстве.	Das Reisebüro hat viele interessante Reisen im Angebot.	Туристическое агентство предлагает много интересных путешествий.	A1 chatgpt
